National code	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	21	NYS	뉴욕	FERG	NYSFERG	퍼거슨 엔터프라이지스	FERGUSON ENTERPRISES INC.	2	USD	4		208.18	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FET	NYSFET	포럼 에너지 테크놀로지스	FORUM ENERGY TECHNOLOGIES INC	2	USD	4		16.45	1	1	930	1600	N		10	0	1	   	   
US	21	NYS	뉴욕	FF	NYSFF	퓨처퓨얼	FUTUREFUEL CORP	2	USD	4		5.74	1	1	930	1600	N		110	0	1	   	   
US	21	NYS	뉴욕	FFA	NYSFFA	FIRST TRUST ENHANCED EQUITY INCOME FUND	FIRST TRUST ENHANCED EQTY INCOME FD	3	USD	4		20.1	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	FFC	NYSFFC	FLAHERTY & CRUMRINE PREFERRED AND INCOME SECURITIES FUND	FLAHERTY & CRUMRINE PFD AND INM SEC	3	USD	4		16.6	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	FFWM	NYSFFWM	퍼스트 파운데이션	FIRST FOUNDATION INC	2	USD	4		7.01	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FG	NYSFG	F&G 어뉴어티스 앤드 라이프	F&G ANNUITIES & LIFE INC	2	USD	4		42.86	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FGB	NYSFGB	FIRST TRUST SPECIALTY FINANCE & FINANCIAL OPPORTUNITIES FUND	FIRST TRUST SPECIALTY FINANCE	3	USD	4		4.14	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	FGN	NYSFGN	F&G 어뉴어티스 앤드 라이프 선순위채권(2053-12-15 7.950%)	F&G ANNUITIES & LIFE INC 7.95% SNR NTS 15/12/2053 US	2	USD	4		27.04	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FHI	NYSFHI	페더레이티드 헤르메스	FEDERATED HERMES INC	2	USD	4		36.38	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FHN	NYSFHN	퍼스트 호라이즌	FIRST HORIZON CORPORATION	2	USD	4		16.16	1	1	930	1600	N		610	0	0	   	   
US	21	NYS	뉴욕	FHN/B	NYSFHN/B	퍼스트 호라이즌 우선주 B(6.625% 상환)	FIRST HORIZON CORPORATION DEP SHS REP 1/400 NON CUM PER PFD	2	USD	4		24.925	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FHN/C	NYSFHN/C	퍼스트 호라이즌 우선주 C(6.600%)	FIRST HORIZON CORPORATION DEP SHS REP 1/400 NON CUM PER PFD	2	USD	4		25.33	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FHN/E	NYSFHN/E	퍼스트 호라이즌 우선주 E(6.500% 상환)	FIRST HORIZON CORPORATION 6.50% DEP SHS REP 1/4000 PER PFD S	2	USD	4		25.39	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FHN/F	NYSFHN/F	퍼스트 호라이즌 우선주 F(상환)	FIRST HORIZON CORPORATION DEP SHS REPSTG 1/4000TH PERP PFD S	2	USD	4		20.61	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FI	NYSFI	파이서브	FISERV INC	2	USD	4		178.78	1	1	930	1600	N		0	0	1	   	   
US	21	NYS	뉴욕	FICO	NYSFICO	페어 아이작	FAIR ISAAC CORP	2	USD	4		1929.21	1	1	930	1600	N		720	0	0	   	   
US	21	NYS	뉴욕	FIGS	NYSFIGS	피그스	FIGS INC	2	USD	4		5.63	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FIHL	NYSFIHL	피델리스 인슈어런스 홀딩스	FIDELIS INSURANCE HOLDINGS LIMITED	2	USD	4		18.19	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FINS	NYSFINS	ANGEL OAK FINANCIAL STRATEGIES INCOME TERM TRUST	ANGEL OAK FINANCL STRTG INCM TRM TR	3	USD	4		13.16	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	FINV	NYSFINV	핀볼루션 그룹(ADR)	FINVOLUTION GROUP SPON ADS EACH REP 5 ORD SHS CLASS A	2	USD	4		5.45	1	1	930	1600	N		0	0	0	   	   
