S	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	22	NAS	나스닥	CONL	NASCONL	GRANITESHARES ETF TRUST 2X LONG COIN DAILY ETF	GRANITESHARES ETF TRUST 2X LONG COIN DAILY ETF	3	USD	4		22.56	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	COO	NASCOO	쿠퍼	COOPER COS INC	2	USD	4		111.1	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COOP	NASCOOP	미스터 쿠퍼 그룹	MR COOPER GROUP INC	2	USD	4		92.35	1	1	930	1600	N		640	0	1	   	   
US	22	NAS	나스닥	COOT	NASCOOT	오스트레일리안 오일시즈 홀딩스	AUSTRALIAN OILSEEDS HOLDINGS LTD	2	USD	4		0.9	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COPJ	NASCOPJ	SPROTT FDS TR JUNIOR COPPER MINERS ETF	SPROTT FDS TR JUNIOR COPPER MINERS ETF	3	USD	4		21.9	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	COPP	NASCOPP	SPROTT FDS TR COPPER MINERS ETF	SPROTT FDS TR COPPER MINERS ETF	3	USD	4		24.42	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	CORT	NASCORT	코셉트 테라퓨틱스	CORCEPT THERAPEUTICS INC	2	USD	4		40.92	1	1	930	1600	N		520	0	1	   	   
US	22	NAS	나스닥	CORZ	NASCORZ	코어 사이언티픽	CORE SCIENTIFIC INC	2	USD	4		11.61	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CORZZ	NASCORZZ	코어 사이언티픽 워런트 2	CORE SCIENTIFIC INC	2	USD	4		11.58	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COSM	NASCOSM	코스모스 헬스	COSMOS HEALTH INC	2	USD	4		1.09	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COST	NASCOST	코스트코 홀세일	COSTCO WHOLESALE CORP	2	USD	4		900.74	1	1	930	1600	N		430	0	0	   	   
US	22	NAS	나스닥	COWG	NASCOWG	PACER FDS TR US LARGE CAP CASH COWS GRWTH LEADERS ETF	PACER FDS TR US LARGE CAP CASH COWS GRWTH LEADERS ETF	3	USD	4		28.52	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	COWS	NASCOWS	AMPLIFY ETF TRUST CASH FLOW DIVID LEADERS ETF	AMPLIFY ETF TRUST CASH FLOW DIVID LEADERS ETF	3	USD	4		29.4935	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	COYA	NASCOYA	코야 테라퓨틱스	COYA THERAPEUTICS INC	2	USD	4		6.22	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CPB	NASCPB	캠벨 수프	CAMPBELL SOUP CO	2	USD	4		50.84	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CPBI	NASCPBI	센트럴 플레인스 뱅크셰어스	CENTRAL PLAINS BANCSHARES INC	2	USD	4		11.91	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CPHC	NASCPHC	캔터베리 파크 홀딩스	CANTERBURY PARK HLDGS CORP	2	USD	4		18.2996	1	1	930	1600	N		350	0	1	   	   
US	22	NAS	나스닥	CPIX	NASCPIX	컴벌랜드 파머슈티컬스	CUMBERLAND PHARMACEUTICALS INC	2	USD	4		1.28	1	1	930	1600	N		520	0	1	   	   
